Date & Time,Temperature,Date
01-08-1970 03:00 AM,33,01-08-1970
01-08-1970 04:00 AM,32,01-08-1970
01-08-1970 05:00 AM,32,01-08-1970
01-08-1970 06:00 AM,31,01-08-1970
01-08-1970 07:00 AM,30,01-08-1970
01-08-1970 08:00 AM,29,01-08-1970
01-08-1970 09:00 AM,31,01-08-1970
01-08-1970 10:00 AM,34,01-08-1970
01-09-1970 05:00 AM,33,01-09-1970
01-09-1970 06:00 AM,32,01-09-1970
01-09-1970 07:00 AM,32,01-09-1970
01-09-1970 08:00 AM,30,01-09-1970
01-09-1970 09:00 AM,33,01-09-1970
01-09-1970 09:00 PM,34,01-09-1970
01-09-1970 10:00 PM,33,01-09-1970
01-09-1970 11:00 PM,33,01-09-1970
01-10-1970 12:00 AM,32,01-10-1970
01-10-1970 01:00 AM,32,01-10-1970
01-10-1970 02:00 AM,33,01-10-1970
01-10-1970 03:00 AM,32,01-10-1970
01-10-1970 04:00 AM,31,01-10-1970
01-10-1970 05:00 AM,31,01-10-1970
01-10-1970 06:00 AM,30,01-10-1970
01-10-1970 07:00 AM,30,01-10-1970
01-10-1970 08:00 AM,30,01-10-1970
01-10-1970 09:00 AM,32,01-10-1970
01-10-1970 10:00 PM,34,01-10-1970
01-11-1970 12:00 AM,33,01-11-1970
01-11-1970 01:00 AM,33,01-11-1970
01-11-1970 02:00 AM,33,01-11-1970
01-11-1970 03:00 AM,32,01-11-1970
01-11-1970 04:00 AM,31,01-11-1970
01-11-1970 05:00 AM,33,01-11-1970
01-11-1970 06:00 AM,33,01-11-1970
01-11-1970 07:00 AM,34,01-11-1970
02-04-1970 04:00 AM,34,02-04-1970
02-04-1970 05:00 AM,31,02-04-1970
02-04-1970 06:00 AM,30,02-04-1970
02-04-1970 07:00 AM,31,02-04-1970
02-04-1970 08:00 AM,30,02-04-1970
02-04-1970 09:00 AM,31,02-04-1970
11-24-1970 07:00 AM,33,11-24-1970
11-24-1970 08:00 AM,33,11-24-1970
11-24-1970 09:00 AM,34,11-24-1970
11-24-1970 08:00 PM,34,11-24-1970
11-24-1970 09:00 PM,34,11-24-1970
11-24-1970 10:00 PM,34,11-24-1970
11-25-1970 12:00 AM,33,11-25-1970
11-25-1970 01:00 AM,33,11-25-1970
11-25-1970 02:00 AM,32,11-25-1970
